1710699048,,0,0,1483812
1710699049,Delta,0,0,499501
1710699051,Delta,0,0,147851
1710699051,Delta,0,0,844863
1710699361,,0,0,628401
1710699362,,0,0,1825792
1710699363,,0,0,1599509
1710699364,,0,0,362093
1710699365,,0,0,1306232
1710699366,Delta,0,0,1574247
1710699367,Delta,0,0,1232168
1710699368,Delta,0,0,685552
1710699388,Delta,0,0,32527
1710699389,Delta,0,0,360792
1710699390,Delta,0,0,132826
1710699489,Delta,0,0,108059
1710699490,Delta,0,0,135148
1710699525,Delta,0,0,135330
1710699526,Delta,0,0,806238
1710699527,Delta,0,0,377509
1710699528,Delta,0,0,1131600
