1711034843,Calibration,29,57,1576984,120603,55266,33075,9226,9441
1711034844,Calibration,47,69,983223,22556,3885,723,2169,904
1711034845,Calibration,48,61,1462326,126552,28243,17297,1585,6515
1711034846,Calibration,61,75,528695,12900,5282,3091,1469,1293
1711034847,Calibration,53,70,973724,160111,30312,35720,15537,5329
1711034848,Meditation,44,69,110771,34045,3777,2207,1847,682
1711034849,Meditation,47,70,210868,14676,4411,2667,1137,925
1711034850,Meditation,30,50,642136,163005,7130,2839,5153,3308
1711034851,Meditation,38,34,475534,244329,7007,12079,11200,11465
1711034852,Meditation,30,21,407675,422549,16712,7216,12438,4082
1711034853,Meditation,20,16,220830,64340,13894,508,856,1476
1711034854,Meditation,21,23,772787,795249,89127,13884,35079,16832
1711034855,Meditation,27,29,510305,15270,1065,1403,1828,1385
1711034856,Meditation,43,63,874683,105060,125078,149317,15472,10246
1711034857,Meditation,51,66,937290,206436,78062,19032,13051,12666
1711034858,Meditation,60,80,1131556,75228,43288,4996,3501,4737
1711034859,Meditation,51,87,231618,26550,3738,4291,1940,1330
1711034860,Meditation,69,69,3499477,246033,33101,77305,52663,51942
1711034861,Meditation,61,54,403076,134016,5828,7110,12054,2712
1711034862,Meditation,50,48,551166,104542,30623,5979,9136,1980
1711034863,Meditation,51,57,1477159,81738,62512,4705,9189,6814
1711034864,Meditation,40,51,1674609,68164,9485,2183,1840,4479
1711034865,Meditation,54,67,1416790,36362,7308,13076,2154,3541
1711034866,Meditation,77,66,384511,21223,5261,1667,2827,2404
1711034867,Meditation,78,60,1152128,169725,56317,12367,8229,11989
1711034868,Meditation,78,60,3158778,66330,22711,3899,5001,2993
1711034869,Meditation,66,64,1545013,321059,29049,60488,37464,8565
1711034870,Meditation,38,50,672671,967589,24643,70094,9455,5077
1711034871,Meditation,35,34,2184655,701380,2446,33780,75027,41132
1711034872,Meditation,38,27,224820,78186,9165,8208,4323,5602
1711034873,Meditation,38,29,1425342,372996,82810,24088,5285,8258
1711034874,Meditation,60,48,70160,3241,2664,593,976,183
1711034875,Meditation,48,63,1570442,268578,34395,34946,28653,7267
1711034876,Meditation,41,61,1451533,112595,14156,6208,3732,4423
1711034877,Meditation,44,56,425975,125142,25642,1122,3207,3749
1711034878,Meditation,40,41,642296,63253,8535,1140,5302,1267
1711034879,Meditation,48,37,2036181,243245,19408,16397,34404,13433
1711034880,Meditation,53,40,1399928,111626,24856,9286,13792,7501
1711034881,Meditation,44,38,93602,114021,9656,9661,3676,1749
1711034882,Meditation,56,27,921919,361984,4326,13400,30591,15462
1711034883,Meditation,47,35,608466,82886,16649,7917,8410,2138
1711034884,Meditation,35,21,95872,35619,443,1627,2186,743
1711034885,Meditation,44,14,286363,42504,1620,2236,4175,1489
1711034886,Meditation,41,34,1587611,60121,8989,11233,2804,2173
1711034887,Meditation,38,27,2010684,1090287,112500,44296,60899,20073
1711034888,Calibration,53,50,269365,7673,5281,2075,1676,1016
1711034889,Calibration,50,61,183770,10104,2147,1174,1578,325
1711034890,Calibration,43,53,1370118,253570,23643,10029,6475,5025
1711034891,Calibration,53,77,1029497,38696,48189,29320,4520,4478
1711034970,,61,57,656036,190067,38570,8112,12441,6075
1711034971,Memory1,41,47,1555512,1084908,55304,155961,67150,24370
